"公司代號","公司名稱","產業別","基本每股盈餘(元)","普通股每股面額","營業收入","營業利益","營業外收入及支出","稅後淨利",
"2337","旺宏電子股份有限公司","半導體業","1.67","新台幣                 10.0000元","23640244.00","3097014.00","-142906.00","2941777.00",
"2338","台灣光罩股份有限公司","半導體業","-0.05","新台幣                 10.0000元","931293.00","42246.00","-59816.00","-32393.00",
"2340","光磊科技股份有限公司","光電業","1.03","新台幣                 10.0000元","4353284.00","656045.00","-4763.00","543454.00",
"2342","台灣茂矽電子股份有限公司","半導體業","-0.32","新台幣                 10.0000元","1229380.00","52122.00","-85630.00","-33508.00",
"2344","華邦電子股份有限公司","半導體業","1.05","新台幣                 10.0000元","34386143.00","4421599.00","438737.00","3976156.00",
"2345","智邦科技股份有限公司","通信網路業","3.56","新台幣                 10.0000元","26259436.00","2383071.00","63616.00","1935152.00",
"2347","聯強國際股份有限公司","電子通路業","2.61","新台幣                 10.0000元","257239533.00","3333016.00","2213975.00","4554788.00",
"2348","海悅國際開發股份有限公司","其他","1.35","新台幣                 10.0000元","497154.00","119078.00","-3399.00","114721.00",
"2349","錸德科技股份有限公司","光電業","-0.72","新台幣                 10.0000元","7118032.00","-980111.00","-51245.00","-1146159.00",
"2351","順德工業股份有限公司","半導體業","3.00","新台幣                 10.0000元","7161454.00","837327.00","-71321.00","603790.00",
"2352","佳世達科技股份有限公司","電腦及週邊設備業","1.97","新台幣                 10.0000元","99741999.00","2497971.00","2244309.00","4108744.00",
"2353","宏碁股份有限公司","電腦及週邊設備業","0.58","新台幣                 10.0000元","170235612.00","2379945.00","-341644.00","1755320.00",
"2354","鴻準精密工業股份有限公司","其他電子業","3.78","新台幣                 10.0000元","87671881.00","4976333.00","790942.00","5344870.00",
"2355","敬鵬工業股份有限公司","電子零組件業","3.17","新台幣                 10.0000元","18119209.00","1675361.00","157206.00","1257522.00",
"2356","英業達股份有限公司","電腦及週邊設備業","1.37","新台幣                 10.0000元","334834967.00","6298613.00","155814.00","4291297.00",
"2357","華碩電腦股份有限公司","電腦及週邊設備業","15.48","新台幣                 10.0000元","320010739.00","8980187.00","5769108.00","11837160.00",
"2358","廷鑫興業股份有限公司","其他","0.53","新台幣                 10.0000元","1524722.00","19497.00","12197.00","26309.00",
"2359","所羅門股份有限公司","其他電子業","0.47","新台幣                 10.0000元","3012452.00","178734.00","-47535.00","87828.00",
"2360","致茂電子股份有限公司","其他電子業","4.23","新台幣                 10.0000元","9686587.00","1991716.00","51585.00","1658588.00",
"2362","藍天電腦股份有限公司","電腦及週邊設備業","0.79","新台幣                 10.0000元","15281236.00","559482.00","500420.00","506509.00",
"2363","矽統科技股份有限公司","半導體業","-0.22","新台幣                 10.0000元","156297.00","-231947.00","110868.00","-121294.00",
"2364","倫飛電腦實業股份有限公司","電腦及週邊設備業","-0.76","新台幣                 10.0000元","449648.00","-93951.00","-13558.00","-107556.00",
"2365","昆盈企業股份有限公司","電腦及週邊設備業","0.15","新台幣                 10.0000元","1857954.00","-25686.00","61719.00","34887.00",
"2367","燿華電子股份有限公司","電子零組件業","-0.04","新台幣                 10.0000元","12007308.00","193991.00","-279342.00","-35398.00",
"2368","金像電子(股)公司","電子零組件業","-0.48","新台幣                 10.0000元","14253858.00","-78938.00","-164120.00","-259573.00",
"2369","菱生精密工業股份有限公司","半導體業","0.30","新台幣                 10.0000元","4534690.00","110714.00","51263.00","114391.00",
"2371","大同股份有限公司","電機機械","0.22","新台幣                 10.0000元","55730542.00","-88667.00","2728684.00","2026504.00",
"2373","震旦行股份有限公司","其他電子業","3.77","新台幣                 10.0000元","10822534.00","929431.00","447960.00","1167346.00",
"2374","佳能企業股份有限公司","光電業","0.77","新台幣                 10.0000元","8613869.00","134014.00","117749.00","213007.00",
"2375","智寶電子股份有限公司","電子零組件業","1.92","新台幣                 10.0000元","2239204.00","152072.00","154391.00","269711.00",
"2376","技嘉科技股份有限公司","電腦及週邊設備業","3.08","新台幣                 10.0000元","44350389.00","1658116.00","631936.00","1910267.00",
"2377","微星科技股份有限公司","電腦及週邊設備業","4.31","新台幣                 10.0000元","76897509.00","4117545.00","271875.00","3642645.00",
